Interval=	0.0001 s
ExcelDateTime=	3.9815061567394674e+004	2009/1/2 1:28:39.4229
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 V	10.000 V
-0.0003	-0.235	-0.001
-0.0002	-0.234	0.000
-0.0001	-0.234	-0.001
0.0	-0.237	-0.001
0.0001	-0.237	-0.001
0.0002	0.878	1.154
0.0003	4.171	1.155
0.0004	4.581	0.001
0.0005	-2.264	0.001
0.0006	-4.571	0.000
0.0007	-5.340	-0.000
0.0008	-5.292	-0.000
0.0009	-4.170	-0.000
0.001	-3.081	-0.001
0.0011	-2.328	0.000
0.0012	-2.044	-0.000
0.0013	-2.173	-0.000
0.0014	-2.281	-0.001
0.0015	-2.059	-0.001
0.0016	-1.589	-0.001
0.0017	-1.070	-0.000
0.0018	-0.633	-0.001
0.0019	-0.302	0.000
0.002	-0.051	-0.001
0.0021	0.111	-0.001
0.0022	0.183	-0.000
0.0023	0.198	-0.001
0.0024	0.186	-0.001
0.0025	0.171	-0.000
0.0026	0.164	-0.001
0.0027	0.157	0.000
0.0028	0.150	-0.001
0.0029	0.142	-0.001
0.003	0.136	-0.001
0.0031	0.126	-0.000
0.0032	0.113	-0.000
0.0033	0.098	-0.001
0.0034	0.082	-0.001
0.0035	0.069	-0.001
0.0036	0.059	-0.000
0.0037	0.050	-0.001
0.0038	0.039	-0.000
0.0039	0.029	-0.001
0.004	0.022	-0.001
0.0041	0.015	-0.001
0.0042	0.002	0.000
0.0043	-0.007	-0.001
0.0044	-0.012	-0.001
0.0045	-0.028	-0.000
0.0046	-0.037	-0.000
0.0047	-0.046	-0.001
0.0048	-0.058	-0.001
0.0049	-0.069	-0.001
0.005	-0.078	-0.001
0.0051	-0.086	-0.001
0.0052	-0.097	0.000
0.0053	-0.111	-0.001
0.0054	-0.122	-0.001
0.0055	-0.136	-0.001
0.0056	-0.151	-0.001
0.0057	-0.166	-0.001
0.0058	-0.173	-0.001
0.0059	-0.182	-0.001
0.006	-0.187	-0.001
0.0061	-0.196	-0.001
0.0062	-0.204	-0.001
0.0063	-0.215	-0.001
0.0064	-0.217	-0.001
0.0065	-0.225	-0.000
0.0066	-0.229	-0.001
0.0067	-0.229	-0.001
0.0068	-0.233	-0.000
0.0069	-0.236	-0.001
0.007	-0.237	-0.001
0.0071	-0.241	-0.001
0.0072	-0.241	-0.001
0.0073	-0.244	-0.001
0.0074	-0.245	-0.001
0.0075	-0.247	-0.000
0.0076	-0.254	-0.000
0.0077	-0.254	-0.001
0.0078	-0.255	-0.000
0.0079	-0.260	-0.001
0.008	-0.261	0.000
0.0081	-0.264	-0.001
0.0082	-0.268	-0.001
0.0083	-0.275	-0.000
0.0084	-0.278	-0.001
0.0085	-0.280	-0.001
0.0086	-0.277	-0.000
0.0087	-0.275	-0.001
0.0088	-0.278	-0.001
0.0089	-0.280	-0.001
0.009	-0.278	-0.001
0.0091	-0.275	-0.000
0.0092	-0.276	-0.000
0.0093	-0.278	-0.000
0.0094	-0.281	-0.001
0.0095	-0.284	-0.001
0.0096	-0.285	-0.001
0.0097	-0.287	-0.000
0.0098	-0.289	-0.000
0.0099	-0.291	-0.001
0.01	-0.293	-0.001
0.0101	-0.293	-0.001
0.0102	-0.291	-0.001
0.0103	-0.291	-0.001
0.0104	-0.288	-0.001
0.0105	-0.286	-0.001
0.0106	-0.283	-0.001
0.0107	-0.282	-0.001
0.0108	-0.280	-0.001
0.0109	-0.281	-0.001
0.011	-0.280	-0.000
0.0111	-0.279	0.000
0.0112	-0.278	-0.000
0.0113	-0.279	-0.001
0.0114	-0.278	-0.001
0.0115	-0.276	-0.000
0.0116	-0.275	-0.000
0.0117	-0.272	-0.000
0.0118	-0.268	-0.001
0.0119	-0.266	-0.000
0.012	-0.268	-0.000
0.0121	-0.268	-0.001
0.0122	-0.264	-0.001
0.0123	-0.264	-0.000
0.0124	-0.268	-0.000
0.0125	-0.262	-0.001
0.0126	-0.262	-0.001
0.0127	-0.262	-0.000
0.0128	-0.258	-0.001
0.0129	-0.258	-0.001
0.013	-0.260	-0.001
0.0131	-0.258	-0.000
0.0132	-0.255	-0.001
0.0133	-0.251	-0.001
0.0134	-0.249	-0.001
0.0135	-0.250	-0.000
0.0136	-0.249	-0.001
0.0137	-0.249	-0.000
0.0138	-0.247	-0.000
0.0139	-0.244	-0.000
0.014	-0.238	-0.001
0.0141	-0.230	-0.001
0.0142	-0.225	-0.000
0.0143	-0.227	-0.001
0.0144	-0.220	-0.001
0.0145	-0.214	-0.001
0.0146	-0.214	-0.001
0.0147	-0.211	-0.001
0.0148	-0.211	-0.001
0.0149	-0.209	-0.001
0.015	-0.208	-0.001
0.0151	-0.205	-0.000
0.0152	-0.199	-0.000
0.0153	-0.200	-0.001
0.0154	-0.200	-0.001
0.0155	-0.204	-0.001
0.0156	-0.207	-0.001
0.0157	-0.210	-0.001
0.0158	-0.215	-0.001
0.0159	-0.214	-0.001
0.016	-0.216	-0.001
0.0161	-0.216	-0.001
0.0162	-0.218	-0.000
0.0163	-0.215	0.000
0.0164	-0.217	-0.001
0.0165	-0.217	0.000
0.0166	-0.218	-0.001
0.0167	-0.218	-0.001
0.0168	-0.219	-0.001
0.0169	-0.222	-0.001
0.017	-0.223	-0.001
0.0171	-0.227	-0.001
0.0172	-0.226	-0.001
0.0173	-0.225	-0.000
0.0174	-0.230	-0.000
0.0175	-0.231	0.000
0.0176	-0.231	0.000
0.0177	-0.229	-0.001
0.0178	-0.223	-0.000
0.0179	-0.221	-0.001
0.018	-0.218	-0.001
0.0181	-0.218	-0.001
0.0182	-0.217	-0.001
0.0183	-0.215	-0.000
0.0184	-0.213	-0.001
0.0185	-0.214	-0.001
0.0186	-0.215	-0.001
0.0187	-0.213	-0.000
0.0188	-0.215	-0.001
0.0189	-0.216	-0.001
0.019	-0.217	-0.001
0.0191	-0.217	-0.000
0.0192	-0.215	-0.000
0.0193	-0.216	-0.001
0.0194	-0.214	-0.001
0.0195	-0.214	-0.000
0.0196	-0.212	0.000
0.0197	-0.213	-0.001
0.0198	-0.217	0.000
0.0199	-0.218	-0.001
0.02	-0.218	-0.001
0.0201	-0.219	0.000
0.0202	-0.219	-0.001
0.0203	-0.220	-0.000
0.0204	-0.215	-0.000
0.0205	-0.219	-0.000
0.0206	-0.218	-0.000
0.0207	-0.219	-0.001
0.0208	-0.215	-0.001
0.0209	-0.213	-0.001
0.021	-0.213	-0.000
0.0211	-0.217	-0.001
0.0212	-0.219	-0.001
0.0213	-0.214	-0.001
0.0214	-0.216	-0.001
0.0215	-0.217	-0.001
0.0216	-0.219	-0.000
0.0217	-0.217	-0.000
0.0218	-0.216	-0.001
0.0219	-0.215	-0.000
0.022	-0.219	-0.001
0.0221	-0.223	-0.001
0.0222	-0.231	-0.000
0.0223	-0.237	-0.001
0.0224	-0.240	-0.001
0.0225	-0.241	-0.001
0.0226	-0.244	-0.001
0.0227	-0.242	-0.001
0.0228	-0.242	-0.001
0.0229	-0.242	-0.001
0.023	-0.243	-0.001
0.0231	-0.243	-0.001
0.0232	-0.242	-0.000
0.0233	-0.240	-0.000
0.0234	-0.238	-0.001
0.0235	-0.235	-0.001
0.0236	-0.232	-0.001
0.0237	-0.231	-0.001
0.0238	-0.226	-0.001
0.0239	-0.223	-0.000
0.024	-0.219	-0.000
0.0241	-0.217	-0.001
0.0242	-0.217	-0.000
0.0243	-0.218	-0.001
0.0244	-0.220	0.000
0.0245	-0.218	-0.000
0.0246	-0.220	-0.001
0.0247	-0.217	-0.000
0.0248	-0.219	-0.000
0.0249	-0.224	-0.001
0.025	-0.221	-0.001
0.0251	-0.221	-0.000
0.0252	-0.222	-0.001
0.0253	-0.219	-0.000
0.0254	-0.219	-0.001
0.0255	-0.220	-0.001
0.0256	-0.218	-0.001
0.0257	-0.215	-0.001
0.0258	-0.214	-0.001
0.0259	-0.213	-0.001
0.026	-0.214	-0.001
0.0261	-0.219	-0.001
0.0262	-0.223	-0.001
0.0263	-0.229	-0.001
0.0264	-0.229	-0.001
0.0265	-0.230	-0.001
0.0266	-0.230	-0.000
0.0267	-0.231	0.000
0.0268	-0.231	-0.001
0.0269	-0.233	0.000
0.027	-0.232	-0.001
0.0271	-0.231	-0.001
0.0272	-0.230	-0.001
0.0273	-0.228	-0.000
0.0274	-0.227	-0.001
0.0275	-0.228	-0.000
0.0276	-0.230	-0.000
0.0277	-0.231	-0.001
0.0278	-0.233	0.000
0.0279	-0.236	-0.001
0.028	-0.238	-0.001
Interval=	0.000100 s
ExcelDateTime=	3.9815061663138884e+004	2009/1/2 1:28:47.6952
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 V	10.000 V
-0.0019	-0.235	-0.000
-0.0018	-0.234	-0.001
-0.0017	-0.233	-0.001
